age,job,marital,education,default,balance,housing,loan,contact,poutcome,Target,avgloginspermonth,AvgSessiontime,bounceRate,successrate,timeontask,featureusagescore
28,entrepreneur,single,unknown,no,1306,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
28,services,married,unknown,no,-134,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
28,services,single,unknown,no,-70,yes,yes,unknown,unknown,no,15,130,0.3,0.7,90,0.8
28,blue-collar,single,unknown,no,913,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
28,blue-collar,single,unknown,no,448,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
28,blue-collar,divorced,unknown,no,101,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
28,admin.,single,unknown,no,731,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
28,admin.,single,unknown,no,2736,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
28,management,single,unknown,no,81,no,yes,cellular,unknown,no,15,130,0.3,0.7,90,0.8
28,admin.,single,unknown,no,24,yes,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
28,student,single,unknown,no,78,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
28,entrepreneur,married,unknown,no,1034,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
28,admin.,married,unknown,no,-1,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
28,management,single,unknown,no,560,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
28,technician,single,unknown,no,0,yes,no,cellular,failure,yes,8,50,0.8,0.2,210,0.3
28,student,single,unknown,no,78,no,no,cellular,failure,yes,8,50,0.8,0.2,210,0.3
28,technician,single,unknown,no,0,yes,no,cellular,success,no,15,130,0.3,0.7,90,0.8
28,admin.,single,unknown,no,174,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
28,unknown,single,unknown,no,326,no,no,cellular,success,yes,8,50,0.8,0.2,210,0.3
29,blue-collar,divorced,unknown,no,17,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
29,blue-collar,married,unknown,no,135,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
29,admin.,single,unknown,no,175,no,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
29,blue-collar,married,unknown,no,559,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
29,unknown,single,unknown,no,209,no,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
29,admin.,single,unknown,no,2083,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
29,blue-collar,married,unknown,no,356,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
29,services,single,unknown,no,33,no,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
29,technician,married,unknown,no,627,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
29,technician,married,unknown,no,2,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
29,blue-collar,single,unknown,no,694,yes,yes,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
29,technician,single,unknown,no,0,no,yes,cellular,unknown,no,15,130,0.3,0.7,90,0.8
29,blue-collar,married,unknown,yes,163,yes,yes,cellular,unknown,no,15,130,0.3,0.7,90,0.8
29,unemployed,single,unknown,no,67,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
29,services,single,unknown,no,196,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
29,technician,single,unknown,no,1729,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
29,blue-collar,married,unknown,no,486,yes,no,cellular,failure,no,15,130,0.3,0.7,90,0.8
29,services,single,unknown,no,-70,yes,yes,cellular,failure,no,15,130,0.3,0.7,90,0.8
29,blue-collar,single,unknown,no,913,yes,no,telephone,failure,no,15,130,0.3,0.7,90,0.8
29,blue-collar,divorced,unknown,no,101,yes,no,cellular,failure,no,15,130,0.3,0.7,90,0.8
29,student,single,unknown,no,795,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
29,student,single,unknown,no,2929,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
29,student,single,unknown,no,145,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
29,student,single,unknown,no,7585,no,no,telephone,unknown,no,15,130,0.3,0.7,90,0.8
29,management,single,unknown,no,345,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
29,student,single,unknown,no,10332,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
29,management,single,unknown,no,698,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
29,student,single,unknown,no,7585,no,no,cellular,failure,yes,8,50,0.8,0.2,210,0.3
29,management,single,unknown,no,560,no,no,cellular,failure,yes,8,50,0.8,0.2,210,0.3
29,student,single,unknown,no,2929,no,no,cellular,other,yes,8,50,0.8,0.2,210,0.3
29,management,single,unknown,no,560,no,no,cellular,success,no,15,130,0.3,0.7,90,0.8
29,student,married,unknown,no,2229,no,no,unknown,other,no,15,130,0.3,0.7,90,0.8
29,unemployed,single,unknown,no,1584,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
30,technician,single,unknown,no,-48,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
30,technician,married,unknown,yes,-315,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
30,admin.,single,unknown,yes,1,no,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
30,blue-collar,single,unknown,yes,-149,yes,yes,unknown,unknown,no,15,130,0.3,0.7,90,0.8
30,blue-collar,single,unknown,no,194,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
30,blue-collar,single,unknown,no,0,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
30,services,single,unknown,no,347,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
30,blue-collar,married,unknown,no,198,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
30,services,married,unknown,no,280,yes,yes,unknown,unknown,no,15,130,0.3,0.7,90,0.8
30,student,single,unknown,no,809,no,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
30,student,single,unknown,no,1232,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
30,services,married,unknown,no,4471,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
30,student,single,unknown,no,-145,no,yes,cellular,unknown,no,15,130,0.3,0.7,90,0.8
30,technician,married,unknown,no,0,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
30,services,married,unknown,no,-51,yes,yes,cellular,unknown,no,15,130,0.3,0.7,90,0.8
30,self-employed,married,unknown,no,1712,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
30,admin.,married,unknown,no,4,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
30,blue-collar,single,unknown,no,-570,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
30,unknown,single,unknown,no,6929,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
30,admin.,single,unknown,no,0,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
30,student,single,unknown,no,809,no,no,cellular,failure,no,15,130,0.3,0.7,90,0.8
30,services,married,unknown,no,840,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
30,self-employed,married,unknown,no,1712,no,no,cellular,failure,no,15,130,0.3,0.7,90,0.8
30,student,single,unknown,no,988,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
30,blue-collar,single,unknown,no,306,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
30,services,single,unknown,no,138,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
30,blue-collar,single,unknown,no,6281,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
30,technician,single,unknown,no,766,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
30,technician,single,unknown,no,878,yes,no,cellular,other,no,15,130,0.3,0.7,90,0.8
30,self-employed,single,unknown,no,-142,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
30,blue-collar,single,unknown,no,694,yes,yes,cellular,success,no,15,130,0.3,0.7,90,0.8
30,management,married,unknown,no,385,no,no,cellular,other,no,15,130,0.3,0.7,90,0.8
30,student,single,unknown,no,4468,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
30,student,single,unknown,no,145,no,no,cellular,failure,no,15,130,0.3,0.7,90,0.8
31,admin.,married,unknown,no,-295,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
31,blue-collar,married,unknown,no,-357,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
31,blue-collar,married,unknown,no,92,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
31,management,married,unknown,no,0,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
31,admin.,married,unknown,yes,-310,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
31,blue-collar,single,unknown,no,667,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
31,blue-collar,married,unknown,yes,-13,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
31,technician,single,unknown,no,694,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
31,blue-collar,single,unknown,no,813,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
31,technician,single,unknown,no,365,no,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
31,housemaid,married,unknown,yes,-6,no,yes,telephone,unknown,no,15,130,0.3,0.7,90,0.8
31,management,single,unknown,no,1023,no,yes,cellular,unknown,no,15,130,0.3,0.7,90,0.8
31,services,divorced,unknown,no,0,no,yes,cellular,unknown,no,15,130,0.3,0.7,90,0.8
31,technician,single,unknown,no,187,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
31,blue-collar,married,unknown,no,-120,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
31,blue-collar,single,unknown,no,-340,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
31,services,married,unknown,no,-82,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
31,services,single,unknown,no,6145,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
31,management,married,unknown,no,668,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
31,self-employed,single,unknown,no,7118,yes,no,cellular,other,no,15,130,0.3,0.7,90,0.8
31,student,single,unknown,no,2144,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
31,unemployed,single,unknown,no,167,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
31,management,married,unknown,no,4123,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
31,services,single,unknown,yes,-10,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
31,student,single,unknown,no,640,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
31,blue-collar,married,unknown,no,-120,yes,no,cellular,failure,no,15,130,0.3,0.7,90,0.8
31,entrepreneur,single,unknown,no,301,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
31,student,single,unknown,no,643,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
31,management,married,unknown,no,68,yes,no,cellular,other,no,15,130,0.3,0.7,90,0.8
31,services,single,unknown,no,347,yes,no,cellular,failure,no,15,130,0.3,0.7,90,0.8
31,student,single,unknown,no,2882,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
31,blue-collar,single,unknown,yes,17,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
31,blue-collar,single,unknown,no,461,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
31,technician,single,unknown,no,460,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
31,self-employed,single,unknown,no,7118,yes,no,cellular,failure,no,15,130,0.3,0.7,90,0.8
31,services,single,unknown,no,919,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
31,technician,married,unknown,no,14533,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
31,blue-collar,single,unknown,no,6281,no,no,cellular,other,yes,8,50,0.8,0.2,210,0.3
31,student,single,unknown,no,376,no,no,cellular,other,no,15,130,0.3,0.7,90,0.8
31,student,single,unknown,no,988,no,no,cellular,other,no,15,130,0.3,0.7,90,0.8
31,student,single,unknown,no,2347,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
31,student,single,unknown,no,7826,no,no,telephone,unknown,no,15,130,0.3,0.7,90,0.8
31,management,married,unknown,no,385,no,no,cellular,failure,no,15,130,0.3,0.7,90,0.8
32,technician,single,unknown,no,-170,no,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
32,entrepreneur,married,unknown,no,227,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
32,technician,single,unknown,no,10600,no,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
32,technician,married,unknown,no,1879,no,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
32,student,single,unknown,no,1583,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
32,technician,married,unknown,no,196,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
32,technician,married,unknown,no,102,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
32,technician,single,unknown,no,317,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
